look | смотреть
look forward | ожидать
hello | привет
world | мир
good | хороший
good morning | доброе утро
cat | кот
dog | собака
house | дом
car | машина
computer | компьютер
program | программа
forward | перед
java | ява
book | книга
pen | ручка
table | стол
chair | стул
window | окно
door | дверь
water | вода
fire | огонь
earth | земля
air | воздух
sun | солнце
moon | луна
star | звезда
sky | небо
cloud | облако
rain | дождь
snow | снег
wind | ветер
tree | дерево
flower | цветок
grass | трава
stone | камень
sand | песок
mountain | гора
river | река
sea | море
ocean | океан
lake | озеро
forest | лес
animal | животное
bird | птица
fish | рыба
horse | лошадь
cow | корова
pig | свинья
sheep | овца
chicken | курица
food | еда
bread | хлеб
meat | мясо
fruit | фрукт
apple | яблоко
banana | банан
orange | апельсин
vegetable | овощ
potato | картофель
tomato | помидор
time | время
day | день
night | ночь
morning | утро
evening | вечер
week | неделя
